Cost Center,Type,Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,1,2,3,4,5,6,7,8,9,10,11,12
Further Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"135,520"
Further Practice,Databases,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050203,Further Practice - DBs,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"363,197"
Further Practice,BCN,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050204,Further Practice - BCN,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"64,833"
Further Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"5,672"
Further Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,878
Further Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"9,816"
Further Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,-43
Further Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"27,652"
Further Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"21,780"
HLS Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"26,575"
HLS Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"3,657"
HLS Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"46,637"
HLS Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,-184
HLS Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"132,265"
HLS Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,Healthcare Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"30,800"
HLS Practice,Databases,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500203,Healthcare Practice - DBs,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"214,860"
HLS Practice,BCN,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500204,Healthcare Practice - BCN,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"22,500"
M&A Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"45,728"
M&A Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"8,257"
M&A Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"58,696"
M&A Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,"11,379"
M&A Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"150,532"
M&A Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"11,000"
M&A Practice,BCN,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500204,M&A Practice - BCN,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"5,000"
Organization Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"42,259"
Organization Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"7,866"
Organization Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,"55,993"
Organization Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Vacation Expense,61107000,0,0,0,0,0,0,0,0,0,0,0,"-13,004"
Organization Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,"144,972"
Organization Practice,General,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Programs,Other Operating Expenses,66000000,0,0,0,0,0,0,0,0,0,0,0,"36,850"
PEG Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,"200,195"
PEG Practice,Compensation,Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,"38,333"
