Practice,Summary Account,Period,Sum of USD Current Year Rate
HLS Practice,Other Compensation,6,404
HLS Practice,Other Compensation,7,"-1,118"
HLS Practice,Other Compensation,8,"-1,658"
HLS Practice,Other Compensation,9,"-2,153"
HLS Practice,Other Compensation,10,"-1,757"
HLS Practice,Salary,1,"121,855"
HLS Practice,Salary,2,"113,652"
HLS Practice,Salary,3,"108,029"
HLS Practice,Salary,4,"108,733"
HLS Practice,Salary,5,"116,311"
HLS Practice,Salary,6,"104,649"
HLS Practice,Salary,7,"101,979"
HLS Practice,Salary,8,"96,096"
HLS Practice,Salary,9,"99,444"
HLS Practice,Salary,10,"94,277"
HLS Practice,Salary,11,"114,411"
HLS Practice,Salary,12,"126,361"
M&A Practice,Bonus (Firm Perf.),1,"6,055"
M&A Practice,Bonus (Firm Perf.),2,"6,055"
M&A Practice,Bonus (Firm Perf.),3,"-13,213"
M&A Practice,Bonus (Firm Perf.),4,"6,286"
